,Name,Adesioni,Equity,Settore,description,status,percent_raised,date,base_url
72,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
73,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
74,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
75,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
76,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
77,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
78,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
79,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
80,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
81,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
82,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
83,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
84,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
85,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
86,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
87,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
88,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
89,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
90,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
91,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
92,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
93,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
94,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
95,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
96,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
97,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
98,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
99,,,,,,,,2020-02-26 15:51:19,https://www.backtowork24.com/equity-crowdfunding?gclid=EAIaIQobChMI-6SMr9K_5wIVRIXVCh1aKAa3EAAYAiAAEgIPvfD_BwE
